Attr 0,Attr 1,Attr 2,Attr 3,Attr 4,Attr 5,Attr 6,Attr 7,Attr 8,Attr 9,Attr 10,Attr 11,Attr 12,Labels
Mexico City,Orange,Yellow,Private Second Class,0.993496764,-1.67482448,3.306896577,-1.297063726,-0.867575522,-0.669280627,0.386808771,0.925372428,-128.5083907,Z
Warsaw,Green,Lavender,Command Sergeant Major,1.032953849,-1.266191509,2.918470661,-1.538196417,-0.866648786,-0.82613022,0.11690168,0.955290607,443.3707349,Y
New York,Purple,Teal,Private Second Class,0.885289157,-0.895357935,2.599682041,-0.480886759,-0.866051947,-0.552420328,0.507018253,0.887691569,426.1687196,Y
Warsaw,Red,Yellow,Private Second Class,-1.159112446,8.225875026,8.650481637,-0.511410761,-0.864866001,-0.778011642,0.237343404,0.917790101,-434.4623326,Y
New York,Blue,Pink,Master Sergeant,1.001574876,4.366389943,2.148139936,-0.617170215,-0.863794479,-0.564582685,0.51648827,0.936391129,-18.82645007,X
Warsaw,Yellow,Blue,Sergeant First Class,1.544885368,-1.856667662,3.08691441,-1.156468679,-0.862834431,-0.538214039,0.561184942,0.913046595,-194.4410573,Y
Shanghai,Yellow,Purple,Private,0.513327975,4.178870427,1.992200715,-1.101032032,-0.862345515,-0.765714573,0.190500382,0.95904639,54.93863807,Z
Warsaw,Red,Lavender,Corporal,-2.6108968,5.988967312,0.61824522,0.184379199,-0.860938649,-0.717049245,0.314336338,0.900131882,950.7661849,X
Warsaw,Blue,Pink,First Sergeant,-2.270298833,5.684850234,0.572517807,-1.393372235,-0.857162525,-0.745195166,0.14263773,0.931680345,-849.6592312,Y
Warsaw,Red,Blue,Private Second Class,-0.968601313,7.715956175,8.832363134,-0.642060538,-0.856340551,-0.749569405,0.194999216,0.973592846,610.9804528,X
Warsaw,Red,Pink,Specialist,0.823466496,4.214083754,1.934367629,-1.597022364,-0.856178101,-0.66636163,0.369475234,0.966908026,356.3066588,Z
Warsaw,Green,Cyan,Master Sergeant,-0.663370106,7.663979189,9.018118987,-1.187846944,-0.854607852,-0.685248918,0.304022928,0.928361557,881.6108796,X
New York,Red,Cyan,Master Sergeant,-2.526006196,6.194087719,0.782248324,-1.27016774,-0.853005096,-0.79466891,0.071972336,0.897862057,721.9796101,Y
New York,Green,Lavender,Corporal,0.480411861,-1.869735289,3.188867129,-0.189387459,-0.852293339,-0.81104479,0.191461226,0.911567622,793.5883875,Y
Warsaw,Red,Red,Corporal,-2.351212607,6.007154303,0.808672234,-1.026497936,-0.850640674,-0.698289743,0.34602181,0.957328738,-53.48177167,Y
Warsaw,Red,Teal,Staff Sergeant,1.296510852,-1.514663283,2.89002563,-0.879551001,-0.850079206,-0.476388182,0.511328127,0.956554369,334.3926183,X
Mumbai,Red,Pink,Master Sergeant,-1.933874221,8.032917651,9.46806134,-1.709348177,-0.84788017,-0.692955148,0.34305517,0.987962162,-40.39375675,Z
Warsaw,Green,Cyan,Sergeant First Class,-1.174875673,7.647163016,9.382373766,-0.793179114,-0.847727477,-0.765195273,0.175003827,0.979274264,-392.0955192,Y
Warsaw,Magenta,Orange,Specialist,-0.363734041,7.116477694,8.847882035,-1.278509935,-0.846859018,-0.688464883,0.320022636,0.967664763,260.7771267,X
Warsaw,Red,Yellow,Command Sergeant Major,-0.527358883,7.752145974,9.903003705,-0.529338033,-0.845914208,-0.670534204,0.430556132,0.985333657,-359.381873,Z
Warsaw,Red,Orange,Corporal,-1.971873375,5.755385781,0.242787891,-0.865496531,-0.840270916,-0.838374828,0.031807718,0.890760639,18.41400208,X
Mexico City,Red,Teal,Staff Sergeant,-1.170970353,8.354396851,9.673787617,-0.069898004,-0.839661817,-0.730928414,0.153189995,0.917774159,-254.3082568,Y
Mexico City,Yellow,Pink,Master Sergeant,-0.904614098,7.511609385,9.622579944,-0.636424875,-0.839328729,-0.658594775,0.270628839,0.98852093,1127.421019,Z
Warsaw,Red,Purple,Staff Sergeant,0.659803752,-1.629287081,2.778663709,-0.711123236,-0.839268761,-0.55961482,0.406562457,0.935433117,602.2764412,Y
Mumbai,Green,Pink,Sergeant First Class,0.660802377,4.741642677,2.149196132,-0.540242085,-0.838374828,-0.471478157,0.572432238,0.909825007,381.702338,Y
Warsaw,Red,Lime,Private Second Class,-0.722200708,7.706077027,9.352386477,-0.694581101,-0.838263998,-0.730805593,0.260749867,0.896402583,71.19605654,Z
Shanghai,Red,Yellow,Staff Sergeant,1.139254813,3.995820898,2.270967198,-1.216185612,-0.837735306,-0.815493408,0.081860655,0.92552057,-240.7884004,X
New York,Cyan,Magenta,First Sergeant,-3.096689905,4.920300982,-0.062837986,-1.443820996,-0.837631639,-0.741918123,0.055879236,0.926527882,-181.5611301,Z
Shanghai,Orange,Blue,Specialist,-1.162159588,7.432913807,9.200093218,-0.719688311,-0.837513478,-0.647046246,0.342670337,0.959203079,-308.7606289,X
Warsaw,Red,Lavender,Master Sergeant,1.456822164,-1.504835471,3.037473244,-1.644434597,-0.837272977,-0.587046778,0.483028332,0.985571766,240.388952,X
Mumbai,Red,Purple,Staff Sergeant,-2.720836598,5.186626936,0.806949202,-0.829603373,-0.837194619,-0.824188689,0.132417099,0.929307631,468.5998555,Z
Warsaw,Red,Orange,Sergeant First Class,1.407549,3.280113461,2.527818962,-1.380241568,-0.836383342,-0.670487871,0.239065016,0.896371881,1030.09148,Z
Shanghai,Cyan,Red,Corporal,-1.967494225,5.866788718,0.163086658,-0.957314891,-0.836360304,-0.815705015,0.079233795,0.957776758,-150.4224553,Z
New York,Yellow,Green,Sergeant Major,1.248260016,4.025256666,1.939108681,-0.912164911,-0.836124279,-0.505649308,0.495341979,0.892763799,254.8993945,Y
Mumbai,Red,Teal,Specialist,-2.33267475,5.112126257,0.570169278,-1.408705032,-0.835905845,-0.720173721,0.1680894,0.890888143,-964.0849157,Z
Warsaw,Purple,Cyan,Sergeant First Class,-3.04106755,5.645156391,0.496470126,-1.489606251,-0.83582602,-0.44324794,0.582502409,0.914073409,-388.2001171,X
Shanghai,Green,Red,Sergeant First Class,-2.004980836,5.998741478,0.770286335,-1.268623594,-0.835517132,-0.50597951,0.455150345,0.896405952,305.4060045,Y
Warsaw,Teal,Magenta,First Sergeant,-1.541529644,6.025624187,0.553843241,-1.151861346,-0.835432761,-0.622802322,0.374335236,0.981684086,510.0658352,X
Warsaw,Red,Cyan,Command Sergeant Major,-1.903625225,7.124904569,9.359476432,-0.380231097,-0.832503675,-0.643310836,0.295704303,0.979774043,-11.36071726,Y
Warsaw,Blue,Purple,Staff Sergeant,-2.65857128,6.162036511,0.634096758,-1.948823341,-0.832145997,-0.48943707,0.52564455,0.891077285,738.8628425,X
New York,Red,Orange,Sergeant Major,1.296496,4.335091398,1.897175928,-0.597438551,-0.831494806,-0.645800819,0.365122353,0.898999298,-245.3894698,Y
Warsaw,Red,Teal,Sergeant First Class,-1.996515229,5.889998862,0.068170648,-1.64487568,-0.831280975,-0.667595981,0.350186322,0.959825352,-342.319603,Y
New York,Blue,Purple,Sergeant,1.10376114,4.646519572,1.794857284,-0.482913169,-0.82967988,-0.601882913,0.368100713,0.909571109,-483.4673708,Z
Warsaw,Green,Red,Corporal,0.590981718,-1.928633098,2.51860557,-1.194221316,-0.829062137,-0.55517164,0.572181885,0.910015446,72.16911561,Z
Warsaw,Green,Purple,First Sergeant,-2.739934953,5.374325654,0.243453843,-1.878224271,-0.828607399,-0.794254737,0.196661128,0.973865841,0.310968448,Y
Warsaw,Red,Purple,Command Sergeant Major,-1.433464476,8.014269678,9.315543208,-1.074835637,-0.82836396,-0.77109539,0.004014035,0.917882784,-716.0052186,X
Warsaw,Green,Red,First Sergeant,-2.056071809,7.441776415,9.198137241,-0.412746094,-0.828317661,-0.671469828,0.346890064,0.921250534,554.8981942,X
Warsaw,Red,Lime,First Sergeant,-1.270695564,8.050834816,9.466591951,-1.068250888,-0.828137995,-0.814454744,0.007259444,0.93849477,386.1709517,Y
Mumbai,Red,Orange,Corporal,1.495408395,3.358117801,2.063401194,-1.422694602,-0.826511059,-0.739655683,0.085098852,0.883694004,134.2626177,X
Warsaw,Red,Teal,Sergeant,0.808672856,-1.870471976,2.938263972,-0.684435107,-0.82613022,-0.433786443,0.664491076,0.93795324,86.41540872,Y
Mumbai,Red,Teal,Private,-1.448022479,7.264684941,8.900227118,-1.34683299,-0.824188689,-0.451478633,0.609476548,0.889621988,414.7107993,Z
Mumbai,Red,Orange,Sergeant First Class,0.331918717,4.289480099,3.007565662,-0.56107727,-0.823979041,-0.596346201,0.436010405,0.945746977,-422.9261162,X
Warsaw,Green,Lime,Sergeant Major,-1.537827256,7.387608722,8.954545087,-1.010595326,-0.822195264,-0.741974356,0.10688076,0.934241716,666.7018787,Z
New York,Red,Orange,Sergeant First Class,-1.496688854,8.529288886,8.833939437,-1.012090528,-0.821541246,-0.677524922,0.342664436,0.901901451,-795.2951686,Z
Warsaw,Red,Lavender,Private First Class,-2.833479576,6.32365174,-0.256705616,-1.274645785,-0.821139054,-0.552280725,0.53854056,0.903603591,-451.735449,X
New York,Red,Green,Specialist,-1.232692292,8.086085716,8.650055799,-1.151363003,-0.819747452,-0.784185071,0.104210469,0.895259491,-1631.283364,X
Warsaw,Orange,Blue,Private,-2.686627737,5.780176825,0.986782537,-1.525949028,-0.815705015,-0.410346643,0.624777333,0.847926348,-5.669796649,X
New York,Red,Purple,First Sergeant,-1.349340044,7.487914997,9.53581151,-0.962958022,-0.815581588,-0.665458057,0.307052597,0.965349078,321.1238214,X
Warsaw,Red,Teal,Command Sergeant Major,0.980470087,5.018135525,2.106032359,-1.91821742,-0.815518397,-0.78132267,0.129051405,0.93971926,189.9152482,Z
Sydney,Green,Cyan,Sergeant Major,1.061662098,3.820357866,1.958459589,-0.878613419,-0.815493408,-0.425026205,0.61906981,0.943856082,-150.7962607,X
Warsaw,Red,Blue,Private First Class,-2.643281571,6.416115061,0.475150516,-1.821498828,-0.815407209,-0.507077676,0.457702722,0.983463519,461.3349854,Z
Shanghai,Blue,Magenta,Private First Class,0.910787159,-2.560022666,2.456302116,-1.1975001,-0.814454744,-0.426178082,0.579644667,0.933910428,817.4791688,Z
Shanghai,Red,Orange,Master Sergeant,0.732754958,-1.688287687,2.185870841,-1.382894828,-0.813649089,-0.83582602,0.041890205,0.911608822,182.5992027,Z
Warsaw,Blue,Cyan,Private Second Class,0.312970585,-1.80027992,3.06490022,0.356658346,-0.813476888,-0.790801764,-0.100083429,0.890669133,-589.662947,X
Warsaw,Green,Pink,Master Sergeant,-2.290298293,6.03649865,1.109482694,-1.416706694,-0.81104479,-0.348609737,0.628528447,0.864415915,-890.0828819,Y
New York,Yellow,Lavender,Sergeant First Class,0.513797106,4.616266568,2.653061339,-1.125556856,-0.810959319,-0.554055308,0.45765157,0.951901842,-541.7821645,Z
Mumbai,Red,Orange,Sergeant First Class,-1.581130188,7.904395671,8.61356842,-1.417972752,-0.809992313,-0.651802036,0.314937648,0.992858453,254.3843361,Y
Warsaw,Red,Lime,Staff Sergeant,0.77495735,-1.689425265,2.572264265,0.200957257,-0.807639854,-0.794449031,0.063565697,0.895929038,-1262.689545,Y
Shanghai,Red,Lime,Sergeant First Class,-3.256678869,5.497472081,-0.039270184,-1.436303851,-0.807597694,-0.821139054,-0.03013866,0.847088315,-14.11446728,Y
Warsaw,Green,Purple,Private,-2.035726812,6.356186318,0.619823038,-1.160188866,-0.80639621,-0.779670419,0.04799355,0.563775162,262.4089917,Y
Warsaw,Green,Teal,First Sergeant,-0.851892105,7.760776371,8.599448308,-0.577131266,-0.805369363,-0.829062137,0.000729831,0.92562103,700.9265255,Z
Warsaw,Red,Lime,Corporal,-1.005058771,7.499607037,8.725957172,-0.274144627,-0.804968508,-0.654215116,0.36394379,0.955597125,-700.9124736,Z
Warsaw,Red,Pink,First Sergeant,-1.701980412,8.146370801,9.156838625,-2.014967321,-0.803181653,-0.773372724,0.104021224,0.89546482,-300.2653719,Z
Paris,Blue,Magenta,Specialist,0.508702504,-0.988415584,2.730884992,-1.187640566,-0.802964007,-0.796882253,0.003656787,0.905101917,150.8495094,Y
New York,Cyan,Orange,Sergeant Major,0.956028662,4.09677971,1.663735578,-1.061212659,-0.802750507,-0.590608686,0.416432487,0.973976129,-524.0121813,X
New York,Green,Pink,Specialist,-1.152975698,7.87755287,9.236591447,-0.675881005,-0.801976411,-0.777694459,0.030519669,0.872486311,-74.00504103,Y
Warsaw,Cyan,Purple,Master Sergeant,-1.986868567,8.077114712,8.621421769,-0.931839033,-0.800103186,-0.509548403,0.573404042,0.892889433,57.96328336,X
Warsaw,Purple,Orange,Master Sergeant,1.841564458,4.838398507,1.907594786,-1.122228008,-0.799104017,-0.449328315,0.619654201,0.901168,-21.77248032,Z
Shanghai,Blue,Pink,Private First Class,-1.257003738,7.72697708,8.746385294,-0.949191546,-0.799055212,-0.790957987,-0.042480797,0.860318924,37.86551775,X
Warsaw,Red,Purple,Master Sergeant,-0.629029054,7.810762695,9.094520709,-1.211231605,-0.797117942,-0.879853065,-0.121914569,0.867502543,217.2465312,Z
Paris,Green,Magenta,Private,-2.062114936,5.93843376,0.283024327,-1.174995366,-0.796882253,-0.493398623,0.539912819,0.884424717,253.9457841,Y
Atlanta,Blue,Magenta,Specialist,-2.233325479,5.522531462,0.613528876,-0.92477386,-0.796622645,-0.600949037,0.374580659,0.953391077,-28.85025549,Y
Shanghai,Orange,Green,Staff Sergeant,0.783859231,5.225354007,1.631261192,-1.569461013,-0.796435155,-0.364067267,0.696681876,0.84642607,-827.7842351,Z
Warsaw,Red,Green,Sergeant First Class,1.118462796,4.629595256,2.078837757,-0.480756395,-0.79509417,-0.799104017,0.055213468,0.934124736,-87.55956371,X
Mumbai,Red,Pink,Corporal,1.058713872,-2.237259213,3.585582584,-0.458445915,-0.79466891,-0.432795192,0.619961808,0.951829799,159.6363239,X
Shanghai,Red,Red,Private,-2.606788995,5.615265887,1.239158328,-0.584299999,-0.794449031,-0.50926345,0.604586808,0.868422832,-431.3800308,X
Mexico City,Red,Green,First Sergeant,1.036261437,-1.217239769,2.608098674,-0.114576547,-0.794257712,-0.471926993,0.551357088,0.88570813,-208.4239861,Y
Warsaw,Green,Orange,Sergeant,0.830377971,-1.375739973,3.447625761,-0.668801164,-0.794254737,-0.3629653,0.611853021,0.882831117,-0.20248135,Z
New York,Green,Red,First Sergeant,0.705566843,-1.736204391,3.326372159,-1.099014025,-0.794136071,-0.50353961,0.547205187,0.91564158,-40.20516633,Y
Mumbai,Red,Orange,Private,-1.570122344,5.524235118,0.5026625,-0.955281326,-0.793846605,-0.764650493,0.195483427,0.981879474,910.0621874,Y
Warsaw,Red,Lime,Private,-1.382104417,7.483637177,9.153252546,-1.713186268,-0.793152299,-0.750003697,0.185187409,0.892084319,-38.02606107,Z
New York,Purple,Red,First Sergeant,-1.820974886,7.583867733,9.701284215,-0.940996764,-0.790957987,-0.54768351,0.450519023,0.968199197,45.94074388,Y
Warsaw,Blue,Purple,Sergeant,0.590425273,3.990735665,2.011111802,-0.921622991,-0.79093403,-0.63076687,0.474310425,0.984141621,-389.152105,Y
Shanghai,Purple,Blue,Sergeant,-0.716599262,7.816122166,9.030014707,-1.119656088,-0.790801764,-0.553556247,0.512336698,0.973096032,311.6077918,Z
Mumbai,Green,Yellow,Sergeant Major,0.429199475,-1.221105032,2.810533167,-1.334089506,-0.788203777,-0.800103186,0.039328487,0.875376008,22.37715258,Z
Warsaw,Red,Purple,Master Sergeant,-2.677637143,5.956629064,0.987564368,-0.090822939,-0.787223484,-0.419734589,0.643831177,0.910033659,-409.7378608,Z
Warsaw,Red,Pink,Private,-1.24275638,7.09757955,9.128809956,-0.812487024,-0.784185071,-0.410390624,0.703741669,0.8844101,-1232.534225,X
Mumbai,Red,Purple,Master Sergeant,0.928948132,-0.965085807,2.97645857,-0.606461725,-0.78132267,-0.413792995,0.692349717,0.924580621,-787.6468293,X
Paris,Purple,Blue,Private,-2.618999166,5.342282343,0.375135749,-0.098468712,-0.779670419,-0.427310766,0.068373935,0.944100408,377.771683,Y
Warsaw,Red,Lime,Corporal,-1.906883624,5.490449211,-0.217809391,-2.252674952,-0.778961579,-0.796622645,-0.149034089,0.792586394,-322.879025,Y
Warsaw,Red,Lavender,Private First Class,-2.102789688,6.263421021,0.37641462,-0.233134198,-0.778011642,-0.314161678,0.723575298,0.899973443,21.5399382,Z
Mumbai,Blue,Orange,Private First Class,0.964997187,4.475120076,2.08187441,-1.444261569,-0.777694459,-0.482424242,0.531254893,0.893361072,331.3391029,Z
Warsaw,Red,Cyan,Private First Class,-1.209155454,8.396069382,9.336628749,-1.124745619,-0.777539325,-0.794136071,-0.012308011,0.884794118,-20.13553471,Y
Warsaw,Red,Lavender,Staff Sergeant,0.942686672,-1.789122025,2.944889004,-1.553269174,-0.775886388,-0.88508774,-0.117595831,0.824184127,-169.4784476,Z
Warsaw,Green,Orange,Private Second Class,-0.849551918,7.775953555,9.311656892,-1.981375454,-0.773758969,-0.79093403,-0.078535252,0.808821198,-650.7089857,Y
Warsaw,Orange,Yellow,Specialist,0.721295268,4.144878602,2.00211529,-0.967718721,-0.773372724,-0.472505599,0.581759336,0.860887304,842.2175557,X
Atlanta,Yellow,Blue,Master Sergeant,0.90224861,3.980727932,1.476653642,-1.281798379,-0.771622816,-0.835432761,-0.14957999,0.806255173,-29.79737129,Z
Warsaw,Green,Purple,Sergeant Major,-1.974623981,5.612450223,0.508905468,0.347965839,-0.77109539,-0.479446403,0.531840031,0.954309402,-295.2275933,Y
Warsaw,Yellow,Yellow,Master Sergeant,0.226188315,-1.440917777,2.956769954,-0.317910455,-0.770752329,-0.496209802,0.537394543,0.899119824,482.0665457,X
Paris,Red,Yellow,First Sergeant,0.770646422,-2.179873334,2.891028599,0.220797812,-0.767841767,-0.839268761,-0.062577726,0.820779657,-370.2649854,Z
New York,Orange,Green,Master Sergeant,0.704198797,4.57034056,1.870979606,-1.266203233,-0.767774021,-0.866051947,0.035150892,0.893616217,273.7226146,Y
Warsaw,Red,Red,Master Sergeant,-1.508918258,8.037386198,9.794527595,-0.602197447,-0.765714573,-0.297647169,0.661230382,0.86765963,-308.6623153,Z
Warsaw,Blue,Lavender,Staff Sergeant,-2.835766322,6.040102434,1.012916921,-0.589613148,-0.765195273,-0.403946227,0.678547552,0.858170013,-44.93902094,X
Warsaw,Magenta,Lavender,Private First Class,-2.49187512,5.668408203,0.308432727,-0.890087825,-0.765024674,-0.831494806,-0.165759226,0.770609713,287.1595249,Y
Warsaw,Yellow,Magenta,First Sergeant,0.609687447,-1.884333774,2.855472705,-0.720726759,-0.764650493,-0.39017677,0.643471541,0.831841853,-316.169894,X
New York,Red,Cyan,Private Second Class,1.087908384,4.439348978,2.863684946,-1.72868795,-0.764465994,-0.338957221,0.752408433,0.782867991,-5.503965764,X
Shanghai,Cyan,Pink,Staff Sergeant,1.571570956,5.062142998,2.52677935,-1.13904508,-0.763093257,-0.30649685,0.691856689,0.878488508,-268.1846293,Y
Warsaw,Red,Green,Sergeant Major,0.778942125,4.086642737,2.22168754,-0.75190522,-0.762799515,-0.883993342,-0.062665511,0.855267906,-756.9969675,X
Mexico City,Green,Green,Master Sergeant,0.777472146,-1.668915506,2.160937504,-1.82266543,-0.761292525,-0.875862784,-0.059661876,0.851172726,512.8102455,Y
New York,Red,Pink,Private,0.946700212,4.040366141,1.849573935,-0.877198733,-0.756934313,-0.835517132,-0.018415009,0.821502025,283.8708117,Y
Warsaw,Red,Lavender,Private First Class,1.2230247,4.307238487,2.266069205,-0.276919841,-0.755448898,-0.832145997,-0.015338507,0.931062222,396.8031704,Z
New York,Blue,Green,Command Sergeant Major,0.72873773,-1.485018401,3.009103591,-0.324337107,-0.753283838,-0.862834431,-0.03690882,0.851777366,54.40586302,Y
New York,Yellow,Lavender,Private First Class,-2.444528733,6.161114714,0.578852474,-1.409396134,-0.752258707,-0.794257712,-0.007947599,0.929875585,484.5354046,X
Warsaw,Orange,Blue,Staff Sergeant,-2.474816262,5.411072003,0.37429606,1.010227588,-0.752166514,-0.276256019,0.748406433,0.811616875,305.1545691,Y
Warsaw,Yellow,Lavender,Sergeant First Class,0.520191558,5.005781789,2.002072153,-2.066129494,-0.750275057,-0.863794479,-0.099867841,0.861304083,-602.0796373,Z
Mumbai,Green,Lime,Specialist,-1.695035596,7.82134132,9.369736796,-1.102369323,-0.750003697,-0.311806115,0.715451458,0.889803211,204.0769304,X
New York,Orange,Teal,Private,0.086908818,4.553879908,1.414444459,-0.358389387,-0.749569405,-0.416926432,0.687864787,0.850999114,-493.2450742,Z
Mumbai,Purple,Lime,Master Sergeant,0.700450167,4.121574326,2.062259185,-1.146065235,-0.749118247,-0.850079206,-0.008189681,0.905857793,-618.730012,Z
New York,Red,Pink,Private First Class,0.448911731,4.155505726,1.677021203,-1.711833104,-0.748347349,-0.882581079,-0.090668284,0.844831404,-97.51509871,Y
Warsaw,Red,Yellow,Private,-0.701289782,7.1733224,9.334712994,-0.312156914,-0.747292778,-0.815407209,-0.011884334,0.891459134,32.52344033,Y
Paris,Green,Orange,Private,0.329680403,4.187052382,1.750670637,-0.263441544,-0.745957017,-0.770752329,-0.00137359,0.884805465,-177.5635396,Y
Shanghai,Yellow,Cyan,Private Second Class,1.175746189,4.72297619,2.16897939,-0.248051934,-0.745195166,-0.374902933,0.661046351,0.827356306,343.7313258,Y
Warsaw,Red,Lime,Master Sergeant,-1.236807573,8.37250882,8.977280869,-1.244166824,-0.743116854,-0.828317661,-0.202141887,0.801832173,-51.91304577,Z
Warsaw,Red,Purple,Sergeant First Class,-1.289540875,7.414903856,9.371914792,-0.199621922,-0.742533364,-0.810959319,-0.068630649,0.81707623,357.9123379,Y
New York,Green,Yellow,Sergeant First Class,1.338687942,3.959297053,2.819293503,-0.990393835,-0.742096339,-0.84788017,-0.171994724,0.830915628,-571.7228887,X
New York,Red,Yellow,Staff Sergeant,1.319439648,4.760228074,2.641899008,0.326920681,-0.741974356,-0.402369615,0.636398513,0.911908204,827.1005018,Y
New York,Lime,Lime,Command Sergeant Major,-1.500115946,7.574146135,9.30466082,-0.446495811,-0.741918123,-0.389121267,0.583113263,0.931886206,177.5948708,X
Warsaw,Magenta,Lime,Sergeant First Class,-2.446422205,6.119214869,0.202719357,-1.665150105,-0.739655683,-0.472955855,0.639826048,0.863388945,632.6700571,Y
New York,Red,Cyan,Command Sergeant Major,1.275145412,3.828209345,2.364568712,-2.287793106,-0.736496767,-0.854607852,-0.171370364,0.80445266,224.8871261,Y
Warsaw,Cyan,Red,First Sergeant,1.229658124,-1.725344947,2.887960268,0.382138425,-0.734763802,-0.878985995,-0.109863314,0.816020821,-500.4941662,X
New York,Blue,Purple,Private,1.468386351,4.784739267,1.900336794,-0.657574447,-0.730928414,-0.348874867,0.660124945,0.901912299,535.9173442,Y
Warsaw,Green,Pink,Sergeant First Class,-1.641503048,7.476131227,9.594075906,-0.042295238,-0.730805593,-0.278580896,0.770711708,0.857948198,-523.1237142,X
Paris,Red,Pink,Sergeant,-2.52301883,5.714062847,0.792693561,-0.611286845,-0.728037358,-0.823979041,-0.138741534,0.823410639,-200.2761336,X
Warsaw,Red,Orange,First Sergeant,-1.42044054,8.295211769,9.392260952,-1.693723831,-0.726967188,-0.836124279,-0.099339395,0.834968575,-282.8955724,Y
Warsaw,Red,Orange,Sergeant First Class,0.702346042,3.955468468,1.823727656,-1.793947345,-0.72573268,-0.882964488,-0.16230311,0.814208904,450.4071344,Z
New York,Lavender,Lime,Sergeant First Class,0.713684609,3.169965525,2.90198393,-0.841600201,-0.723662398,-0.331357273,0.714290868,0.852189787,-795.7544457,Z
Warsaw,Cyan,Yellow,Corporal,-2.402024577,5.478209088,0.209647846,-1.05421922,-0.721837675,-0.82967988,-0.168012454,0.851963824,-180.4639715,Y
Mumbai,Green,Green,Specialist,0.887186765,-2.202196024,2.872895868,-0.421797319,-0.720173721,-0.368753094,0.713351895,0.838218887,592.794538,Y
